leftArmpitAngle,rightArmpitAngle,leftShoulderAngle,rightShoulderAngle,leftElbowAngle,rightElbowAngle,leftHipAngle,rightHipAngle,leftGroinAngle,rightGroinAngle,leftKneeAngle,rightKneeAngle,slope,verticalPose,ratioAvg,action
11.67,40.1,11.67,40.1,90.23,5.25,74,120.82,74,120.82,175.77,143.63,2.451717796206872,1000,1.1950869874452137,squat
7.42,35.73,7.42,35.73,158.51,161.04,86.5,103.97,86.5,103.97,177.88,133,1.796518633910314,1000,1.394855731200403,squat
15.13,29.91,15.13,29.91,136.47,81.42,89.85,106.64,89.85,106.64,176.56,143.65,2.305662818630399,1000,1.2155162860347022,squat
9.43,35.17,9.43,35.17,136.45,5.66,78.4,116.71,78.4,116.71,175.43,145.5,2.1492101971261577,1000,1.2134456343437494,squat
12.45,33.64,12.45,33.64,151.45,145.14,77.19,112.65,77.19,112.65,175.43,147.68,1.7852916066531608,1000,1.302479885637007,squat
11.78,19.56,11.78,19.56,155.16,175.19,86.54,103.43,86.54,103.43,172.44,168.48,2.5480565375778217,1000,1.158685414794157,squat
32.72,22.58,32.72,22.58,62.11,122.61,97.05,77.68,97.05,77.68,152.66,151.73,3.5138696525843933,1000,1.0039253200529898,squat
5.62,38.19,5.62,38.19,50.27,27.54,80.91,106.78,80.91,106.78,176.39,170.93,3.4788629658756594,1000,1.0890493453374397,squat
11.8,37.8,11.8,37.8,105.95,13.99,75.3,118.87,75.3,118.87,179.77,144.43,20.512316891078505,1000,1.2529426422362793,squat
13.63,36.81,13.63,36.81,150.91,158.57,81.34,109.17,81.34,109.17,177.57,135.31,12.73027175751146,1000,1.350377312871605,squat
12.72,22.83,12.72,22.83,153.05,11.32,89.46,102.46,89.46,102.46,174.11,145.5,2.4714333415045693,1000,1.0642189161865603,stand
22.91,15.25,22.91,15.25,162.63,0.67,82.01,107.7,82.01,107.7,174.83,176.91,3.6680979826088165,1000,1.2647063988276266,stand
17.14,12.68,17.14,12.68,173.05,19.03,76.2,116.04,76.2,116.04,179.54,175.1,3.7767144800056363,1000,1.3400347206364849,stand
18.4,3.64,18.4,3.64,171.86,23.88,100.09,92.2,100.09,92.2,168.93,173.31,3.6735704157872715,1000,1.1501954955011602,stand
21.68,4.56,21.68,4.56,165.21,161.69,94.76,98.14,94.76,98.14,168.46,171.12,3.60288976996259,1000,1.1612300891468559,stand
20.7,4.06,20.7,4.06,161.16,177.15,94.5,97.44,94.5,97.44,173.65,164.96,3.4111043984589267,1000,1.0909494154761665,stand
13.4,20.54,13.4,20.54,174.55,166.31,75.48,119.01,75.48,119.01,175.78,168.65,3.706592446426409,1000,1.2000728933658715,stand
10.71,14.07,10.71,14.07,161.95,151.53,73.02,120.03,73.02,120.03,172.79,169.36,4.581804397751643,1000,1.242127324285893,stand
3.24,26.52,3.24,26.52,163.16,151.85,97.72,92.12,97.72,92.12,171.13,171.37,6.6635114860684626,1000,1.1436089797084514,stand
9.65,38.33,9.65,38.33,99.6,130.62,78.75,118.52,78.75,118.52,173.43,165.14,3.621299824985231,1000,1.1511580500965914,stand
6.71,38.01,6.71,38.01,27.92,43.19,72,119,72,119,176.76,161.36,19.912158454511687,1000,1.0623288700625284,stand
17.79,13.7,17.79,13.7,170.12,5.45,79.39,112.79,79.39,112.79,175.31,176.36,3.7073346570753793,1000,1.262055987565677,stand
17.52,6.94,17.52,6.94,172.27,22.81,73.15,119.63,73.15,119.63,179.96,174.2,3.7569257768563404,1000,1.3620565240356086,stand
19.61,4.03,19.61,4.03,169.11,18.87,95.8,97.01,95.8,97.01,169.38,171.79,3.6451211165977075,1000,1.1668232499887303,stand
20.27,3.26,20.27,3.26,167.25,13.59,93.82,99.22,93.82,99.22,169.21,169.01,3.5353493014744535,1000,1.1701556654334477,stand
17.66,5.18,17.66,5.18,162.72,178.76,94.81,94.91,94.81,94.91,172.31,165.19,3.5229727683490837,1000,1.1010641819205003,stand
11.39,11.15,11.39,11.15,176.64,167.57,76.32,118.22,76.32,118.22,175.73,169.22,5.323704882634346,1000,1.1946003745174663,stand
9.43,16.22,9.43,16.22,156.95,142.57,94.07,99.34,94.07,99.34,173.75,170.4,4.563192618814868,1000,1.1469955778811003,stand
